Prioriteetti;Yritys;Sivusto;Kaupunki;Toimiala;Puhelin;Sähköposti;Alusta;Webhotelli;Myyntikulma;Soitettu;Tulos
A;Rakennus ja Sisustus Kinnunen Oy;remonttikinnunen.fi;Kuopio;Remontit;050 352 4986;rskinnunen@gmail.com;WordPress 7.1;NordicHost;Jo NordicHostilla → siirtoa ei tarvita lainkaan. Posti Gmailissa, ei omaa osoitetta.;;
A;Rakennusliike Heimonen Oy;rakennusliikeheimonen.fi;Kuopio;Rakennus & remontit;044 358 8124;;Käsin tehty HTML (Bootstrap);OVH;Vanhanmallinen .html-sivusto, päivitys vaatii koodarin joka kerta.;;
A;PuhRak Oy;puhrak.fi;Kuopio;Rakennus & remontit;040 413 6569;;Käsin tehty HTML (Bootstrap);OVH;Sama sivupohja kuin Heimosella – sama tekijä. Ei palvelukohtaisia alasivuja.;;
A;Kiinteistöpalvelu Nissinen Oy;kiinteistopalvelunissinen.fi;Tampere;Kiinteistöhuolto;040 171 5189;jukka.nissinen@pp2.inet.fi;Staattinen HTML;OVH;Yhteysosoite vanha inet.fi-osoite – ei omaa domainipostia.;;
A;Pirkanmaan Talonmiespalvelut;pirkanmaantalonmiespalvelut.fi;Tampere;Kiinteistöhuolto;050 554 5005;info@pirkanmaantalonmiespalvelut.fi;WordPress 6.9 (vanha);Domainhotelli;WordPress päivittämättä → tietoturvakulma.;;
A;Maarakennus P. Manninen Oy;maarakennusmanninen.fi;Oulu;Maanrakennus;040 548 9530;juho@maarakennusmanninen.fi;WordPress;Cloudpit;Sivun copyright 2023 – sisältöä ei ole päivitetty.;;
A;Sähköaho Oy;sahkoaho.fi;Lahti;Sähköurakointi;040 728 1171;info@sahkoaho.fi;WordPress (WPBakery);Hostingpalvelu.fi;Etusivulta ei löydy puhelinnumeroa, se on vasta yhteystiedoissa. Sama webhotelli kuin PP-Kiinteistöpalveluilla.;;
A;GM-Sähkö Oy;gm-sahko.fi;Lahti;Sähköurakointi;0400 769 596;gm.sahko@gmail.com;Staattinen;–;Gmail-osoite yhteystietona, ei omaa domainipostia.;;
A;LVI-Allu Oy;lvi-allu.fi;Turku;LVI;050 340 1977;lviallun@gmail.com;Käsin tehty HTML (Bootstrap);OVH;Gmail-osoite, ei postia omassa domainissa.;;
A;Terra Lämpö;terralampo.fi;Kaarina / Turku;LVI & lämpöpumput;0400 523 527;;Staattinen HTML (.html-sivut);OVH;Vanhanmallinen .html-rakenne.;;
